STT,product_name,product_url,product_price,product_revenue
12,Điện thoại bàn có dây nhỏ gọn N.INC KX - T102,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-b%C3%A0n-c%C3%B3-d%C3%A2y-nh%E1%BB%8F-g%E1%BB%8Dn-N.INC-KX-T102-i.25238517.22902765823?sp_atk=8f3bcee3-cdc5-43dc-a866-ee28ed57967d&xptdk=8f3bcee3-cdc5-43dc-a866-ee28ed57967d,135000,52245000
13,MÔ HÌNH TRƯNG BÀY. Ip 14/14PL/14PRO/14PRM ĐẸP CHUẨN Rẻ nhất Shopee,https://shopee.vn/M%C3%94-H%C3%8CNH-TR%C6%AFNG-B%C3%80Y.-Ip-14-14PL-14PRO-14PRM-%C4%90%E1%BA%B8P-CHU%E1%BA%A8N-R%E1%BA%BB-nh%E1%BA%A5t-Shopee-i.634206514.23929662543?sp_atk=2890bc89-b45f-48b1-8a43-2a18024f5aa6&xptdk=2890bc89-b45f-48b1-8a43-2a18024f5aa6,125000,26125000
14,"RON chống nước, RON ÁP (Seal) chống nước (keo dán áp) zin cho Ip từ X/Xs/11/11pro/xsmax11promax,- RUBYGROUP",https://shopee.vn/RON-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-RON-%C3%81P-(Seal)-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-(keo-d%C3%A1n-%C3%A1p)-zin-cho-Ip-t%E1%BB%AB-X-Xs-11-11pro-xsmax11promax-RUBYGROUP-i.580368167.21946956380?sp_atk=46c5b3fa-02b0-4735-8cfd-e311469087c7&xptdk=46c5b3fa-02b0-4735-8cfd-e311469087c7,18000,7920000
15,"[SALE] Combo 4 miếng dán điện thoại tài lộc, buôn may bán đắt phù hợp các dòng điện thoại, đẹp lung linh.",https://shopee.vn/-SALE-Combo-4-mi%E1%BA%BFng-d%C3%A1n-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-t%C3%A0i-l%E1%BB%99c-bu%C3%B4n-may-b%C3%A1n-%C4%91%E1%BA%AFt-ph%C3%B9-h%E1%BB%A3p-c%C3%A1c-d%C3%B2ng-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-%C4%91%E1%BA%B9p-lung-linh.-i.104777193.10216829155?sp_atk=96ac6b6f-1d69-4848-a9a9-6e03ae02942e&xptdk=96ac6b6f-1d69-4848-a9a9-6e03ae02942e,4700,5170000
16,màn Oppo a5s-a7-a12 xịn dùng chung,https://shopee.vn/m%C3%A0n-Oppo-a5s-a7-a12-x%E1%BB%8Bn-d%C3%B9ng-chung-i.348231468.21604135254?sp_atk=9ce4a5fc-0eb4-45b6-b305-c2a626dfd973&xptdk=9ce4a5fc-0eb4-45b6-b305-c2a626dfd973,220000,157960000
17,điện thoại samsung G530 giá rẻ,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-samsung-G530-gi%C3%A1-r%E1%BA%BB-i.846291795.19546217216?sp_atk=17827880-6092-459f-811e-51bd30d25682&xptdk=17827880-6092-459f-811e-51bd30d25682,300000,360000000
18,Cáp kết nối main Xiaomi K30 5G K30 i rancing New zin,https://shopee.vn/C%C3%A1p-k%E1%BA%BFt-n%E1%BB%91i-main-Xiaomi-K30-5G-K30-i-rancing-New-zin-i.5609270.10723873695?sp_atk=92e748d3-7216-41e0-b39a-58c3fc7530b4&xptdk=92e748d3-7216-41e0-b39a-58c3fc7530b4,37500,17662500
19,Ốp Lưng Chống va đập Redmi K30 4g 5g / K40 / K40 pro / K40 gaming,https://shopee.vn/%C3%94%CC%81p-L%C6%B0ng-Ch%C3%B4%CC%81ng-va-%C4%91%C3%A2%CC%A3p-Redmi-K30-4g-5g-K40-K40-pro-K40-gaming-i.13928634.7312453242?sp_atk=d1426c65-7ddb-4b9a-932a-051d4f0a7bd1&xptdk=d1426c65-7ddb-4b9a-932a-051d4f0a7bd1,5000,8500000
20,Phím nút home 6/ 6 Plus/ 6S/ 6S Plus zin bóc máy,https://shopee.vn/Ph%C3%ADm-n%C3%BAt-home-6-6-Plus-6S-6S-Plus-zin-b%C3%B3c-m%C3%A1y-i.110084472.2463588214?sp_atk=f4b3ce59-ce2e-48fc-848d-d482d0c3ce97&xptdk=f4b3ce59-ce2e-48fc-848d-d482d0c3ce97,50000,46200000
21,Điện thoại Apple iPhone 14 Pro Max 128GB,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-14-Pro-Max-128GB-i.88201679.21649786963?sp_atk=b261cd31-b38c-41f3-baad-4f5db03d2377&xptdk=b261cd31-b38c-41f3-baad-4f5db03d2377,26790000,460788000000
22,"Điện thoại mini siêu nhỏ 2 sim 2 sóng, thay đổi giọng nói bluetooth, nghe nhạc mp3 lắp thẻ nhớ - bảo hành 12 tháng",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-mini-si%C3%AAu-nh%E1%BB%8F-2-sim-2-s%C3%B3ng-thay-%C4%91%E1%BB%95i-gi%E1%BB%8Dng-n%C3%B3i-bluetooth-nghe-nh%E1%BA%A1c-mp3-l%E1%BA%AFp-th%E1%BA%BB-nh%E1%BB%9B-b%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-i.30054659.22525443281?sp_atk=a7fa351d-1ce0-4cc1-9c4a-9cdd2b61f615&xptdk=a7fa351d-1ce0-4cc1-9c4a-9cdd2b61f615,56000,15120000
23,"Combo 2 miếng dán mặt lưng điện thoại may mắn, tài lộc phù hợp các dòng điện thoại đẹp lung linh",https://shopee.vn/Combo-2-mi%E1%BA%BFng-d%C3%A1n-m%E1%BA%B7t-l%C6%B0ng-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-may-m%E1%BA%AFn-t%C3%A0i-l%E1%BB%99c-ph%C3%B9-h%E1%BB%A3p-c%C3%A1c-d%C3%B2ng-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-%C4%91%E1%BA%B9p-lung-linh-i.104777193.6394230252?sp_atk=56beda1a-4769-43c2-9862-6740b4668879&xptdk=56beda1a-4769-43c2-9862-6740b4668879,4700,2274800
24,[Free Ship] Khay 2 sim cho điện thoại Samsung Galaxy Note FE/ khay đựng sim Note Fe/ Note7/ Note8/Note9/S8/S8Plus,https://shopee.vn/-Free-Ship-Khay-2-sim-cho-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-Note-FE-khay-%C4%91%C6%B0%CC%A3ng-sim-Note-Fe-Note7-Note8-Note9-S8-S8Plus-i.189268414.9303262274?sp_atk=21358313-49da-4607-a45d-0075b55bd465&xptdk=21358313-49da-4607-a45d-0075b55bd465,31500,14899500
25,"[Chính hãng] Điện thoại Oppo F9 Pro 6GB/128GB nguyên zin đẹp keng Full chức năng kèm cường lực, ốp lưng BH 06 tháng",https://shopee.vn/-Ch%C3%ADnh-h%C3%A3ng-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Oppo-F9-Pro-6GB-128GB-nguy%C3%AAn-zin-%C4%91%E1%BA%B9p-keng-Full-ch%E1%BB%A9c-n%C4%83ng-k%C3%A8m-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-%E1%BB%91p-l%C6%B0ng-BH-06-th%C3%A1ng-i.130207332.19719317008?sp_atk=2daf0a58-88b4-4f75-8231-a10aa51bc05b&xptdk=2daf0a58-88b4-4f75-8231-a10aa51bc05b,1386000,209286000
26,"Điện Thoại Samsung Galaxy y S5360/Hỗ trợ 3G,Wifi",https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-y-S5360-H%E1%BB%97-tr%E1%BB%A3-3G-Wifi-i.571612736.13871098825?sp_atk=11138c9e-bd9d-4859-8f0e-db6a8dafa3a2&xptdk=11138c9e-bd9d-4859-8f0e-db6a8dafa3a2,175200,28732800
27,"vỏ xiaomi redmi note 7 , bộ vỏ redmi note 7",https://shopee.vn/v%E1%BB%8F-xiaomi-redmi-note-7-b%E1%BB%99-v%E1%BB%8F-redmi-note-7-i.189348810.15051347689?sp_atk=0ce127d3-32d4-43d8-b9a1-ce4660ac5e21&xptdk=0ce127d3-32d4-43d8-b9a1-ce4660ac5e21,80000,4080000
28,"Bộ giấy lau màn hình điện thoại, ipad, Máy tính, kính mắt, máy ảnh ... v.v",https://shopee.vn/B%E1%BB%99-gi%E1%BA%A5y-lau-m%C3%A0n-h%C3%ACnh-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-ipad-M%C3%A1y-t%C3%ADnh-k%C3%ADnh-m%E1%BA%AFt-m%C3%A1y-%E1%BA%A3nh-...-v.v-i.439171782.15400645493?sp_atk=c9f06728-6914-4a1f-bf0e-c6fcfa4e80f0&xptdk=c9f06728-6914-4a1f-bf0e-c6fcfa4e80f0,5000,4750000
29,"ĐIỆN THOẠI NGƯỜI GIÀ SIÊU BỀN, LOA TO, PHÍM TO HÀNG ĐÃ QUA SỬ DỤNG ĐỘ MỚI 90%",https://shopee.vn/%C4%90I%E1%BB%86N-THO%E1%BA%A0I-NG%C6%AF%E1%BB%9CI-GI%C3%80-SI%C3%8AU-B%E1%BB%80N-LOA-TO-PH%C3%8DM-TO-H%C3%80NG-%C4%90%C3%83-QUA-S%E1%BB%AC-D%E1%BB%A4NG-%C4%90%E1%BB%98-M%E1%BB%9AI-90--i.89899849.5743836056?sp_atk=e79a8955-a15d-415e-847c-b67aece19331&xptdk=e79a8955-a15d-415e-847c-b67aece19331,230000,111090000
30,Điện thoại Apple iPhone 14 128GB,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-14-128GB-i.88201679.20949586482?sp_atk=c9b4a94c-dd77-413f-9d6b-91831bea2ea8&xptdk=c9b4a94c-dd77-413f-9d6b-91831bea2ea8,18890000,17208790000
31,MÈO THẦN TÀI DÁN ĐIỆN THOẠI ỐP VÍ TIỀN CHIÊU TÀI LỘC MAY MẮN,https://shopee.vn/M%C3%88O-TH%E1%BA%A6N-T%C3%80I-D%C3%81N-%C4%90I%E1%BB%86N-THO%E1%BA%A0I-%E1%BB%90P-V%C3%8D-TI%E1%BB%80N-CHI%C3%8AU-T%C3%80I-L%E1%BB%98C-MAY-M%E1%BA%AEN-i.32915930.12152588005?sp_atk=8b6c7f17-31ce-4346-8dfd-447820386f73&xptdk=8b6c7f17-31ce-4346-8dfd-447820386f73,4000,15200000
32,Miếng dán điện thoại 12 con giáp đẹp lung linh phù hợp các dòng điện thoại [KUNKUN],https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-12-con-gi%C3%A1p-%C4%91%E1%BA%B9p-lung-linh-ph%C3%B9-h%E1%BB%A3p-c%C3%A1c-d%C3%B2ng-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-KUNKUN--i.304920136.20157753331?sp_atk=18e79aac-bd84-4846-89f1-1d0829728437&xptdk=18e79aac-bd84-4846-89f1-1d0829728437,3600,13680000
33,Điện thoại Apple iPhone 13 128GB,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-13-128GB-i.88201679.10753341705?sp_atk=1deb09f1-5b86-48a4-9b6a-df0680e32a69&xptdk=1deb09f1-5b86-48a4-9b6a-df0680e32a69,16390000,63921000000
34,Điện thoại Apple iPhone 14 Pro 128GB,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-14-Pro-128GB-i.88201679.18149587079?sp_atk=a4765b7a-75c3-40c6-96ed-14d67f58cf86&xptdk=a4765b7a-75c3-40c6-96ed-14d67f58cf86,23990000,112753000000
35,"Miếng dán điện thoại tài lộc, đẹp lung linh phù hợp các dòng máy điễn thoại",https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-t%C3%A0i-l%E1%BB%99c-%C4%91%E1%BA%B9p-lung-linh-ph%C3%B9-h%E1%BB%A3p-c%C3%A1c-d%C3%B2ng-m%C3%A1y-%C4%91i%E1%BB%85n-tho%E1%BA%A1i-i.448876684.8596483478?sp_atk=0c581f53-d459-422d-b5f9-b9ad2ca0687f&xptdk=0c581f53-d459-422d-b5f9-b9ad2ca0687f,1000,10400000
36,Linh Phù dán Điện Thoại Tài Lộc Bình An [SKY],https://shopee.vn/Linh-Ph%C3%B9-d%C3%A1n-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-T%C3%A0i-L%E1%BB%99c-B%C3%ACnh-An-SKY--i.449168894.19625868073?sp_atk=b943953b-1598-44d2-88f6-2d906fa84c6b&xptdk=b943953b-1598-44d2-88f6-2d906fa84c6b,7300,16790000
37,Điện thoại Samsung J2 prime g532 2 sim 4G LTE [ Mới 99%]- hàng cty chính hãng,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Samsung-J2-prime-g532-2-sim-4G-LTE-M%E1%BB%9Bi-99-h%C3%A0ng-cty-ch%C3%ADnh-h%C3%A3ng-i.483357182.16882522448?sp_atk=1a3514da-e019-4f62-955b-cc3ea5c61a61&xptdk=1a3514da-e019-4f62-955b-cc3ea5c61a61,100100,180180000
38,[Chính hãng] Điện thoại Oppo A31 2020 6GB/128GB nguyên zin đẹp keng Full chức năng kèm cường lực ốp lưng BH 06 tháng,https://shopee.vn/-Ch%C3%ADnh-h%C3%A3ng-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Oppo-A31-2020-6GB-128GB-nguy%C3%AAn-zin-%C4%91%E1%BA%B9p-keng-Full-ch%E1%BB%A9c-n%C4%83ng-k%C3%A8m-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-%E1%BB%91p-l%C6%B0ng-BH-06-th%C3%A1ng-i.130207332.18646650683?sp_atk=e0da2c05-bcf2-4b14-b98c-7986d671298a&xptdk=e0da2c05-bcf2-4b14-b98c-7986d671298a,1463000,187264000
39,Điện thoại di động Inflnix Note10 Điện thoại gốc để bán 12GB+512GB Bàn phím điện thoại thông minh Cherry Mobile 5G Cod,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-di-%C4%91%E1%BB%99ng-Inflnix-Note10-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-g%E1%BB%91c-%C4%91%E1%BB%83-b%C3%A1n-12GB-512GB-B%C3%A0n-ph%C3%ADm-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-th%C3%B4ng-minh-Cherry-Mobile-5G-Cod-i.899047593.23828134036?sp_atk=b727b340-2df9-4cea-b55e-cde9426d6211&xptdk=b727b340-2df9-4cea-b55e-cde9426d6211,1500000,30000000
40,Phích cắm chuyển đổi sang AU / ÚC tiện lợi khi du lịch,https://shopee.vn/Ph%C3%ADch-c%E1%BA%AFm-chuy%E1%BB%83n-%C4%91%E1%BB%95i-sang-AU-%C3%9AC-ti%E1%BB%87n-l%E1%BB%A3i-khi-du-l%E1%BB%8Bch-i.64228852.18231496960?sp_atk=15c4758e-9a2e-470e-ab76-37da7d966329&xptdk=15c4758e-9a2e-470e-ab76-37da7d966329,14000,4746000
41,【MÁY MỚI FULLBOX ĐỢT HÀNG CUỐI 】Điện thoại MỚI Samsung E1200Y MÁY MỚI 100% full phụ kiện - BH 12 tháng LỖI ĐỔI 1:1,https://shopee.vn/%E3%80%90M%C3%81Y-M%E1%BB%9AI-FULLBOX-%C4%90%E1%BB%A2T-H%C3%80NG-CU%E1%BB%90I-%E3%80%91%C4%90i%E1%BB%87n-tho%E1%BA%A1i-M%E1%BB%9AI-Samsung-E1200Y-M%C3%81Y-M%E1%BB%9AI-100-full-ph%E1%BB%A5-ki%E1%BB%87n-BH-12-th%C3%A1ng-L%E1%BB%96I-%C4%90%E1%BB%94I-1-1-i.268722979.21453500929?sp_atk=d12151e0-90ce-4ed7-b074-1f77a92f13fe&xptdk=d12151e0-90ce-4ed7-b074-1f77a92f13fe,999000,185814000
42,"Điện Thoại Xiaomi Redmi K40 Pro - RAM 6-128gb / 8-128GB [Giá rẻ , BH 3 tháng - Tặng dán màn, ốp lưng]",https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Xiaomi-Redmi-K40-Pro-RAM-6-128gb-8-128GB-Gi%C3%A1-r%E1%BA%BB-BH-3-th%C3%A1ng-T%E1%BA%B7ng-da%CC%81n-ma%CC%80n-%E1%BB%91p-l%C6%B0ng--i.2711113.7891547837?sp_atk=22f5ffa4-85fa-423d-a720-fdf6a4916e07&xptdk=22f5ffa4-85fa-423d-a720-fdf6a4916e07,4801000,316866000
43,"[MÁY ĐẸP 99%] Điện thoại Samsung j2 prime g532 (1,5/8GB) Máy cũ- Hàng chính hãng",https://shopee.vn/-M%C3%81Y-%C4%90%E1%BA%B8P-99-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Samsung-j2-prime-g532-(1-5-8GB)-M%C3%A1y-c%C5%A9-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.13480277.12363907844?sp_atk=49a1d2c0-c478-4ccb-85cb-6de718bbed92&xptdk=49a1d2c0-c478-4ccb-85cb-6de718bbed92,88000,228800000
44,Samsung Galaxy Y S5360 ( CŨ ) kèm pin NEW 100%,https://shopee.vn/Samsung-Galaxy-Y-S5360-(-C%C5%A8-)-k%C3%A8m-pin-NEW-100--i.958424180.20074492907?sp_atk=b208aa2d-d4eb-4f5f-9b38-305af85314bf&xptdk=b208aa2d-d4eb-4f5f-9b38-305af85314bf,160000,54720000
45,Điện Thoại Xiaomi Redmi A1 2GB/32GB | PIN KHOẺ 5000mAh - Hàng Chính Hãng,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Xiaomi-Redmi-A1-2GB-32GB-PIN-KHO%E1%BA%BA-5000mAh-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.449911630.20254336012?sp_atk=e0ee267b-3d8a-4827-92c7-f81fa50a48cb&xptdk=e0ee267b-3d8a-4827-92c7-f81fa50a48cb,1720000,94600000
46,Điện Thoại BAK 1280 Chính Hãng BAK Kèm Pin Sạc Bảo Hành 6 Tháng (HÀNG XỊN),https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-BAK-1280-Ch%C3%ADnh-H%C3%A3ng-BAK-K%C3%A8m-Pin-S%E1%BA%A1c-B%E1%BA%A3o-H%C3%A0nh-6-Th%C3%A1ng-(H%C3%80NG-X%E1%BB%8AN)-i.903700315.14696346360?sp_atk=4386877c-2872-4bcf-a9fa-84a1ab36dce1&xptdk=4386877c-2872-4bcf-a9fa-84a1ab36dce1,230000,148580000
47,Điện thoại mini siêu nhỏ Soyes XS11 mới FullBox - Android 6.0 hỗ trợ 2 SIM,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-mini-si%C3%AAu-nh%E1%BB%8F-Soyes-XS11-m%E1%BB%9Bi-FullBox-Android-6.0-h%E1%BB%97-tr%E1%BB%A3-2-SIM-i.49282974.21825696074?sp_atk=21b3ee56-3b5a-4d35-b557-c3de315648dc&xptdk=21b3ee56-3b5a-4d35-b557-c3de315648dc,686000,173558000
48,Điện thoại samsung galaxy j2 prime - G532 Máy mới chính hãng 99%,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-samsung-galaxy-j2-prime-G532-M%C3%A1y-m%E1%BB%9Bi-ch%C3%ADnh-h%C3%A3ng-99--i.905828178.19664371204?sp_atk=274fb36d-9d08-4af6-b219-11663ad5bcd0&xptdk=274fb36d-9d08-4af6-b219-11663ad5bcd0,305000,24400000
49,"Điện Thoại Nokia 1280 Độ 1 Bóng Led RGB To 7 Màu Có Chọn Kèm Pin,Sạc",https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-1280-%C4%90%E1%BB%99-1-B%C3%B3ng-Led-RGB-To-7-M%C3%A0u-C%C3%B3-Ch%E1%BB%8Dn-K%C3%A8m-Pin-S%E1%BA%A1c-i.207597840.10602839017?sp_atk=bc7b4e70-be44-468b-ae8f-bb9726013aa2&xptdk=bc7b4e70-be44-468b-ae8f-bb9726013aa2,145000,37265000
50,Điện Thoại Người Già G600 pin 6900Mah.Dùng 1 tháng không hết pin.Có 4G-Đèn Pin Siêu Sáng-Loa Siêu To-Mới 100%,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Ng%C6%B0%E1%BB%9Di-Gi%C3%A0-G600-pin-6900Mah.D%C3%B9ng-1-th%C3%A1ng-kh%C3%B4ng-h%E1%BA%BFt-pin.C%C3%B3-4G-%C4%90%C3%A8n-Pin-Si%C3%AAu-S%C3%A1ng-Loa-Si%C3%AAu-To-M%E1%BB%9Bi-100--i.76431229.19520278684?sp_atk=9f567229-6cf6-463d-8af4-a5b9b50a6645&xptdk=9f567229-6cf6-463d-8af4-a5b9b50a6645,69000,27255000
51,"Điện Thoại N105 - 2015, 1sim chính hãng",https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-N105-2015-1sim-ch%C3%ADnh-h%C3%A3ng-i.129649666.2702069171?sp_atk=a37a545e-1bf0-4794-aff1-76c4fe318979&xptdk=a37a545e-1bf0-4794-aff1-76c4fe318979,58500,30420000
